D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
52.72253148781923,2421.9469672593837,834,600,3466,3745,120,3057,15444,6861,686.1,8,1,9,1544.492384748161,10,3.5300203574688584
53.633724348885956,2463.7768336135487,1066,674,3420,4618,264,2793,16180,6999,699.9,4,0,4,1618.0789562601597,10,3.520184074315686
67.53884296536346,3102.115080343373,1298,985,4222,5461,355,3190,18455,8310,831.0,7,0,7,1845.518630848825,10,3.7329904697272838
76.58557172565851,3517.4206332671592,1537,800,5450,6566,370,3776,19629,9158,915.8,1,0,1,1962.940283768438,10,3.840817463711683
6.338688927643671,292.6173618744539,0,3,153,0,545,618,7595,4227,422.7,10,0,10,759.5016287595033,10,0.6922577759036052
2.9849651069968615,138.6589352882267,191,3,225,0,327,614,5242,2521,252.1,10,0,10,524.2648733526469,10,0.5500156100286661
2.0817652926310446,97.19600341033728,281,20,284,173,395,854,4898,2048,204.8,9,1,10,489.891136226058,10,0.4745898604020375
14.427336853447237,663.940575849328,623,76,852,611,318,755,5295,3224,322.4,9,0,9,529.5677072197199,10,2.0593690317907196
64.43985966284998,2959.8509528279633,1625,829,4045,4574,676,2912,18432,8822,882.2,4,0,4,1843.292539318651,10,3.355079293615918
36.401980483088664,1672.724166550653,6945,1304,1730,1829,226,1586,24210,9663,966.3,1,0,1,2421.0188003148883,10,1.7310609195391216
40.17782691712931,1846.0608535006231,1187,562,2648,3054,318,1878,10922,6227,622.7,5,2,7,1092.297231527511,10,2.964607119801868
32.87363999453188,1510.7496632434854,1715,297,1358,1644,146,893,11954,8648,864.8,1,1,2,1195.4971271273214,10,1.7469353182741507
17.106056188643727,786.9117673272883,1278,1450,892,1056,179,1116,8835,5149,514.9,2,4,6,883.554455318302,10,1.528280767774885
73.74882009542657,3387.1946990630145,2182,1294,4706,5551,495,3158,21071,9533,953.3,0,1,1,2107.1005546696483,10,3.5531256677467895
72.6451413834502,3336.528440587436,1896,1137,4570,5394,289,3165,20016,9296,929.6,2,0,2,2001.6623060192912,10,3.5892087355716824
3.1307173942365543,145.34994325871577,273,11,762,810,2,335,3416,1105,110.5,10,0,10,341.6653269894421,10,1.3153841018888304
7.744805750669885,357.1675589827503,530,15,1274,1317,18,364,4367,1557,155.7,10,0,10,436.7758887588978,10,2.2939470711801557
74.39074761716078,3416.6634795929313,2049,559,5081,5777,397,3193,20105,9490,949.0,1,0,1,2010.5629458058625,10,3.600277639191708
29.132225902633017,1338.9936518360844,788,213,1868,1963,146,1201,7592,3956,395.6,8,0,8,759.2499592930078,10,3.3847160056523875
69.76602160373352,3204.357524035048,1593,772,4574,4402,409,2730,18580,9138,913.8,2,0,2,1858.0261352140456,10,3.5066289385369314
36.67821793229706,1685.4053190005034,1119,319,2417,2610,204,1592,9483,4813,481.3,7,0,7,948.3275028310716,10,3.50177710160088
74.89611448926647,3439.8632099938645,1967,761,5152,4658,539,2991,21056,10000,1000.0,0,0,0,2105.6008769791574,10,3.4398632099938644
72.73127543808884,3340.4825716479654,1862,1002,4830,4929,451,3129,18657,8840,884.0,4,0,4,1865.77339383699,10,3.778826438515798
73.22838239771706,3363.303116642831,2141,880,4738,4724,505,2813,20350,9440,944.0,3,0,3,2035.0431356877089,10,3.562821098138592
75.55420439417763,3470.073952359902,2073,712,5263,4799,652,2950,20767,9777,977.7,1,0,1,2076.7514066278936,10,3.5492215939039604
73.92441131479471,3395.2555142350466,2023,897,4674,4569,560,2973,20261,9580,958.0,3,0,3,2026.1652413757517,10,3.544108052437418
81.9386895946919,3763.1646624484433,2367,950,5573,6083,429,3547,21790,10000,1000.0,0,0,0,2179.080520032253,10,3.7631646624484434
72.41507228383026,3325.966725169628,2081,839,4714,5022,516,3069,18149,8583,858.3,4,1,5,1814.9808242607862,10,3.8750631774083977
