D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
6.653814351125634,307.0837332786575,0,0,0,88,0,0,4086,1802,180.2,10,0,10,408.61602995991706,10,1.7041272656973225
5.404657956489725,249.73907302539382,0,0,0,132,0,0,2754,1301,130.1,10,0,10,275.4792924068868,10,1.9195931823627503
5.467052169933442,252.6033860826411,0,0,0,0,0,0,2697,1321,132.1,10,0,10,269.74564614742997,10,1.912213369285701
16.971598703029652,780.7392665386305,71,690,773,1036,83,764,7549,3278,327.8,10,0,10,754.9992553599179,10,2.3817549314784334
4.223090156456646,195.49718277846267,35,0,7,24,58,170,2256,1008,100.8,1,10,11,225.6891019821167,10,1.9394561783577646
8.69031990758339,400.57300310943197,23,215,324,338,24,297,2717,1604,160.4,7,3,10,271.7360287427902,10,2.4973379246223937
28.014181360342484,1287.6679053555135,233,1036,1703,1743,141,1502,7449,3863,386.3,10,1,11,744.903337816894,10,3.3333365398796624
31.04792711670983,1426.9371917641004,278,919,1782,2463,86,1622,7762,4024,402.4,9,1,10,776.2101983191445,10,3.5460665799306668
60.82519910501302,2793.9137791400763,1085,1861,3433,4959,197,3510,15124,7106,710.6,5,2,7,1512.4425848763435,10,3.93176720959763
26.633367854905153,1224.2793003077838,406,935,1379,1924,109,1397,6783,3270,327.0,8,1,9,678.3041805047076,10,3.743973395436648
35.1881776124308,1617.002470267299,470,1447,2246,2664,158,2268,8137,4149,414.9,8,1,9,813.7230042707175,10,3.89733061042974
33.175704675408376,1524.6164589255602,417,805,2061,2212,132,1831,8767,4282,428.2,6,1,7,876.701180282794,10,3.5605241917925277
71.42415022875717,3280.4767538340575,1506,1383,3816,5731,193,4058,19285,8525,852.5,3,0,3,1928.538290318474,10,3.848066573412384
16.299988370106313,749.9078458058442,196,402,753,924,68,995,3917,2283,228.3,8,2,10,391.71152384057643,10,3.2847474630128963
80.21339502880981,3683.9620652859426,1523,2521,4632,6374,343,4907,20997,8791,879.1,1,1,2,2099.720071324706,10,4.190606376164194
24.629996206581815,1132.311099186252,341,648,1304,1850,121,1335,5921,3013,301.3,10,0,10,592.1507488507777,10,3.7580852943453436
79.52229125585349,3652.235764856219,1701,1787,4621,5363,325,4242,22394,9687,968.7,2,0,2,2239.4056402955202,10,3.770244415047196
79.19023448541988,3636.9921310189507,1475,1017,4131,5207,210,4021,21327,9948,994.8,1,0,1,2132.785257360339,10,3.656003348430791
37.384613842122846,1717.8336311215503,388,6567,1231,1733,58,1122,22325,10000,1000.0,0,0,0,2232.55657920707,10,1.7178336311215503
80.31381539566917,3688.5720339374143,1588,963,4274,6365,253,4114,21584,10000,1000.0,0,0,0,2158.426620889455,10,3.6885720339374144
68.97681771068278,3168.127769849033,1520,1889,3629,5819,226,3996,16917,7685,768.5,6,0,6,1691.726582806185,10,4.122482459139926
74.57343250306086,3425.0499416567145,1882,838,4060,6584,127,3950,20847,9159,915.9,1,0,1,2084.7799867293797,10,3.7395457382429464
84.23434786549653,3868.5507807617205,2116,1368,4229,7125,317,4702,23329,10000,1000.0,0,0,0,2332.958061610162,10,3.8685507807617205
75.39050014911568,3462.5588290691703,1184,1788,4594,5565,185,3921,21707,10000,1000.0,0,0,0,2170.7496185626833,10,3.4625588290691702
75.80895772223847,3481.768839492346,1628,1606,4397,6412,288,4316,20673,9220,922.0,1,0,1,2067.371980978735,10,3.7763219517270565
83.05431617374293,3814.3794081919814,1767,1917,4574,6707,430,4424,22572,10000,1000.0,0,0,0,2257.2066204562784,10,3.8143794081919813
63.66289991796235,2924.1832871998895,1514,1242,3304,5576,258,3764,16599,7616,761.6,3,0,3,1659.9780019372702,10,3.8395263749998545
77.07777530950867,3540.0160804125526,1408,1180,4220,5186,259,4036,20686,9650,965.0,1,0,1,2068.6610669121146,10,3.6684104460233704
79.66562088101344,3658.8155563813793,1250,1581,4527,5199,325,4267,22090,9826,982.6,1,0,1,2209.0685685105623,10,3.7236063061076528
81.1928589619709,3728.9260319426708,1610,1278,4835,5849,332,4072,22235,10000,1000.0,0,0,0,2223.5334137223663,10,3.7289260319426707
80.1631304508703,3681.6545838872216,1538,2532,4655,6812,448,4725,21222,9071,907.1,4,0,4,2122.2445298470557,10,4.0587086141409126
80.18482838802952,3682.6506647942524,1660,712,4483,6661,179,4248,21091,10000,1000.0,0,0,0,2109.174096825346,10,3.6826506647942523
80.94455012107022,3717.526990012872,1592,878,3911,7144,122,3705,20105,9913,991.3,1,0,1,2010.556208379939,10,3.7501533239310723
89.20960243787948,4096.948349194258,1679,2855,5171,7313,470,5424,24758,10000,1000.0,0,0,0,2475.8561012994496,10,4.096948349194259
84.1403156245432,3864.2340699531487,1268,1907,4628,6933,489,4385,22999,10000,1000.0,0,0,0,2299.918140452355,10,3.8642340699531488
84.70718659215218,3890.257251025244,1789,1987,4596,7024,526,4702,23159,9856,985.6,1,0,1,2315.932585987635,10,3.9470954251473658
84.8236834546233,3895.605238697296,1748,1957,4481,6853,356,5045,23024,10000,1000.0,0,0,0,2302.4038907177746,10,3.895605238697296
74.19213809746917,3407.545969985098,1081,442,3818,3935,80,3190,18764,10000,1000.0,0,0,0,1876.4294146139175,10,3.407545969985098
78.20264078604689,3591.6549535430154,1312,1914,4662,5770,580,4386,21945,9212,921.2,1,0,1,2194.5066509969533,10,3.8988872704548583
86.92891624702375,3992.2495498120943,2025,1888,4966,7323,294,4883,22923,10000,1000.0,0,0,0,2292.3044386863708,10,3.9922495498120947
81.46822960069885,3741.5673919752394,1162,1761,5183,6382,484,4647,23861,9706,970.6,1,0,1,2386.170053854957,10,3.8549014959563563
72.62047777948038,3335.396215674412,984,2397,4012,5794,549,4312,20068,8190,819.0,3,1,4,2006.8271960794925,10,4.072522851861309
81.32376637611598,3734.935560630206,1464,2156,4447,6318,393,4588,22761,9495,949.5,2,0,2,2276.1286285039037,10,3.933581422464672
82.94039142568347,3809.149497830106,1992,736,4071,7316,115,4246,22143,10000,1000.0,0,0,0,2214.3555852925406,10,3.809149497830106
84.36465566056077,3874.5327829100497,1374,2266,4758,6679,443,4477,22894,9810,981.0,1,0,1,2289.48471530308,10,3.949574702252854
68.08817316614103,3127.333022520764,1365,1960,3685,5171,318,3746,19139,8404,840.4,2,0,2,1913.9413503172807,10,3.721243482295055
83.61166296868714,3839.965365832327,1206,1838,4920,6224,487,4766,23663,9862,986.2,1,0,1,2366.304698659666,10,3.8936984038048332
80.8235400424854,3711.9718154378825,1492,1426,4224,5934,263,4056,22195,10000,1000.0,0,0,0,2219.58212557286,10,3.7119718154378827
82.50156888125943,3789.004598576876,1240,2196,4240,6767,397,4562,23331,9949,994.9,1,0,1,2333.108716628328,10,3.808427579230954
78.00585042046578,3582.620955315232,1454,1306,4398,6846,291,3940,22363,10000,1000.0,0,0,0,2236.309859339148,10,3.582620955315232
77.52370498166641,3560.4872445170195,1207,2325,4808,5996,476,4207,21666,9054,905.4,2,0,2,2166.600205555558,10,3.9325019267914945
71.78018694864069,3296.8212282546183,1122,1750,3857,5463,323,4039,20691,8755,875.5,4,0,4,2069.19546105247,10,3.765643892923608
83.07076657615927,3815.1345920437752,1386,2005,4580,6478,385,4641,23111,9744,974.4,1,0,1,2311.1781658634545,10,3.9153680131812143
69.22006206522474,3179.294317872668,1078,1349,3904,5028,144,3423,18726,9143,914.3,1,0,1,1872.6482898756863,10,3.477298827379053
84.33103858196303,3872.9895334345047,1220,1694,4734,7124,333,4247,22133,10000,1000.0,0,0,0,2213.3370977677405,10,3.872989533434505
82.63531485378756,3795.1444361406925,1636,2565,4364,5449,471,4804,25768,10000,1000.0,0,0,0,2576.8042305260897,10,3.7951444361406925
74.57233317451643,3424.999475100119,1325,1951,4437,5734,503,3928,21241,9094,909.4,2,0,2,2124.172834192216,10,3.7662189081813495
57.04572353211736,2620.4104903654293,794,864,3289,4557,315,2939,15683,7141,714.1,3,1,4,1568.3002577275038,10,3.6695287639902388
26.286961861159856,1208.3769408383691,678,158,1293,2217,65,1512,7906,4010,401.0,8,0,8,790.6635146175511,10,3.013408830020871
75.71947132040086,3477.6608132014017,1087,2200,4404,5887,439,4551,21468,8507,850.7,2,1,3,2146.8998372979463,10,4.087999075116259
76.7557556918821,3525.2332192376207,1181,1892,4846,5663,393,4047,21426,9245,924.5,1,0,1,2142.642147807777,10,3.813124087871953
83.78105068683513,3847.741398673357,1165,1223,4713,6055,357,4559,23605,10000,1000.0,0,0,0,2360.5942465480416,10,3.847741398673357
87.38600141691322,4013.232826114944,1476,2500,4940,7128,502,4974,24368,10000,1000.0,0,0,0,2436.839825280383,10,4.013232826114944
78.0073556481422,3582.6900553655373,1361,1920,4638,5755,355,4119,21688,9248,924.8,1,0,1,2168.8142150059343,10,3.874016063327787
86.09125059757001,3953.7950758326733,1556,1915,5292,6128,552,5010,24713,10000,1000.0,0,0,0,2471.3066862620412,10,3.9537950758326734
84.81604896413461,3895.254764357044,1144,1969,5176,6524,569,4674,23718,9861,986.1,1,0,1,2371.8549022465945,10,3.950162016384793
66.26140208738292,3043.4719725179707,997,2169,4094,5020,402,3827,17623,7868,786.8,6,0,6,1762.331181138754,10,3.8681646829155705
74.86667352458241,3438.511672168349,1151,2067,4528,5892,417,4365,20144,8631,863.1,4,1,5,2014.4256801858544,10,3.983908784808653
86.20861776216154,3959.18301621171,1751,2087,4937,6744,386,4667,24105,10000,1000.0,0,0,0,2410.5560753280297,10,3.9591830162117096
65.14041074202565,2992.010948003823,1118,1838,3788,5111,277,3610,17212,7799,779.9,5,0,5,1721.2095307938755,10,3.8364033183790527
74.78925781564541,3434.9577716749272,1473,2592,4679,5228,473,4392,21471,8871,887.1,3,0,3,2147.1949071841314,10,3.8721201349057908
87.95077316196956,4039.1596387862583,1771,2798,5167,6448,680,5179,25431,10000,1000.0,0,0,0,2543.152452724427,10,4.039159638786258
85.82945029547578,3941.7766853074654,1954,1878,4839,6904,513,4914,24652,10000,1000.0,0,0,0,2465.2865758117287,10,3.9417766853074654
