D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
31.46166966067726,1003.6704824669896,0,5,108,0,86,583,1013,3267,326.7,10,0,10,101.30456925474573,10,3.072147176207498
31.044855474149855,990.1049633889577,3,32,303,18,462,758,1290,3388,338.8,0,10,10,129.01940111517905,10,2.9223877313723663
43.05884122953414,1381.1088165103397,3,27,321,73,264,994,870,4044,404.4,7,3,10,87.01274119913577,10,3.415204788601236
36.51199881606962,1168.03709646973,6,32,421,52,371,822,1228,3785,378.5,5,5,10,122.87459891743492,10,3.0859632667628265
51.58320999788779,1658.5405616212472,9,34,423,126,310,1072,1121,4941,494.1,8,0,8,112.11711176712997,10,3.3566900660215486
44.79775863445046,1437.703140777571,11,11,134,198,97,1062,296,4151,415.1,1,9,10,29.685487127210944,10,3.4635103367322837
40.50926969612413,1298.1311674878136,18,10,271,156,27,955,555,3769,376.9,3,7,10,55.52910576853901,10,3.444232336131105
52.094835700596335,1675.191790046861,19,67,588,114,396,1077,1303,5045,504.5,9,1,10,130.33070051535032,10,3.3204990882990306
39.30040335706416,1258.7877384123005,46,13,249,202,46,876,178,3320,332.0,10,0,10,17.806203170260414,10,3.79152933256717
88.75381681799311,2868.2848367888364,29,68,533,455,98,1977,220,7791,779.1,5,1,6,22.01448335223831,10,3.6815361786533645
80.26483844773755,2592.004897773058,46,37,457,421,164,1773,178,6878,687.8,9,0,9,17.851273695752024,10,3.7685444864394566
76.7255779723549,2476.817106539443,63,66,407,427,161,1646,287,6616,661.6,8,0,8,28.718740167096257,10,3.7436776096424476
47.34481054193192,1520.5987867524368,48,53,258,199,143,1050,408,4263,426.3,8,1,9,40.81655787127092,10,3.566968770237947
45.95082880302201,1475.2306431411175,53,25,265,277,62,972,43,3894,389.4,10,0,10,4.387865149835124,10,3.788471091785099
82.94834906774766,2679.341691213641,58,78,838,373,369,1911,984,7514,751.4,5,1,6,98.45749781616033,10,3.565799429350067
81.9667403300745,2647.3945250938705,63,67,566,447,92,1881,3,7013,701.3,9,0,9,0.33260862571187316,10,3.774981498779225
95.61738916230419,3091.6647614404237,86,116,865,387,536,2104,1544,8911,891.1,3,0,3,154.44042189437897,10,3.4694924940415484
98.65617157145999,3190.5641321380203,128,116,586,535,200,2345,580,8821,882.1,1,1,2,58.00953757156967,10,3.6170095591633835
77.49466279652727,2501.847528228915,98,93,735,275,552,1721,1336,7298,729.8,6,0,6,133.62199576585553,10,3.4281276078773844
77.47226979925912,2501.1187319415667,117,78,503,442,140,1797,590,6945,694.5,3,4,7,59.0255898672156,10,3.6013228681664025
42.10290174351286,1349.9970747457319,36,35,492,164,316,863,978,4024,402.4,7,3,10,97.80110739804805,10,3.3548635058293534
66.77893420793103,2153.0963933054945,95,93,515,267,408,1470,1036,6261,626.1,6,1,7,103.69570743287913,10,3.4389017621873412
