D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
22.89234310286459,724.7755535914087,0,0,134,116,0,594,77,2261,226.1,0,10,10,7.704200128000229,10,3.2055530897452837
81.43575763689559,2630.1133094173265,27,78,346,460,28,1863,-19,7173,717.3,3,3,6,-1.930949704349041,10,3.6666852215493186
90.82762490805766,2935.7784205469266,92,81,418,573,35,2027,-116,7925,792.5,3,4,7,-11.625496414350346,10,3.7044522656743553
43.01458719495882,1379.6685369572062,53,39,302,270,19,1010,138,3902,390.2,3,6,9,13.88177155801095,10,3.5357984032732093
83.63158240817296,2701.578014289649,49,58,685,473,165,2014,391,7148,714.8,8,2,10,39.16025426783599,10,3.779487988653678
101.6108425373573,3286.72603509799,83,96,681,545,147,2377,340,8851,885.1,4,0,4,34.07693433945533,10,3.7133951362535194
112.27203247467044,3633.70217018123,139,125,652,663,201,2604,176,10000,1000.0,0,0,0,17.661325018457138,10,3.63370217018123
85.8460818891468,2773.650501091793,72,92,644,467,143,2035,205,7507,750.7,3,3,6,20.58068011295982,10,3.6947522327051994
110.66535235251717,3581.41160389569,159,145,589,688,124,2561,54,9812,981.2,1,0,1,5.463144449237734,10,3.650032209433031
52.833989968752896,1699.24810014951,81,61,409,313,99,1211,270,4694,469.4,1,5,6,27.079344481043517,10,3.6200428209405837
111.05517017766485,3594.0985068728996,184,152,722,664,166,2548,375,9856,985.6,1,0,1,37.573111414187586,10,3.646609686356432
68.12948153106674,2197.0509324501886,105,103,402,407,82,1528,125,6034,603.4,4,2,6,12.59040001151152,10,3.641118548972802
25.105621941326717,796.8083137004228,17,22,166,111,43,567,213,2390,239.0,3,7,10,21.34200148950331,10,3.333925998746539
111.01736738400376,3592.86818761989,160,96,677,653,229,2606,152,9773,977.3,2,0,2,15.27291252319701,10,3.6763206667552337
107.42263195868733,3475.8749240295174,200,161,713,641,214,2528,193,9500,950.0,1,0,1,19.31665102429688,10,3.6588157095047555
111.1780421865445,3598.097465244494,184,138,874,592,288,2592,538,10000,1000.0,0,0,0,53.84618280460127,10,3.5980974652444937
96.52989675279345,3121.36298076151,178,121,601,565,223,2289,405,8580,858.0,2,2,4,40.580184547125825,10,3.637952192029732
110.98227065651358,3591.7259392470332,163,153,691,656,253,2598,352,9901,990.1,1,0,1,35.23354047462344,10,3.6276395709999325
96.91941923372211,3134.040271547563,169,134,625,568,116,2202,187,8590,859.0,0,2,2,18.797594448225574,10,3.6484752870169532
83.53170161041838,2698.3273215079157,111,126,557,482,105,1968,206,7428,742.8,2,2,4,20.63154285042547,10,3.63264313611728
53.16122907610483,1709.8983335085152,125,66,325,317,133,1338,-123,4633,463.3,9,0,9,-12.343471032753587,10,3.690693575455461
112.03216203718426,3625.895413354923,163,136,739,644,203,2680,385,10000,1000.0,0,0,0,38.57039473000914,10,3.625895413354923
112.55244900557275,3642.828528934619,193,192,760,653,167,2621,335,10000,1000.0,0,0,0,33.5205136006698,10,3.642828528934619
100.19815788415272,3240.7491916178087,188,150,604,587,173,2340,287,8942,894.2,0,2,2,28.79283669735305,10,3.624188315385606
111.51601238510457,3609.096949725984,168,163,731,604,173,2660,365,10000,1000.0,0,0,0,36.536499724071476,10,3.6090969497259837
112.11677152354609,3628.6490902654577,206,147,666,622,253,2664,228,10000,1000.0,0,0,0,22.865482464665547,10,3.628649090265458
106.55119073645787,3447.513239356483,143,135,631,609,171,2509,137,9337,933.7,4,0,4,13.744114670087583,10,3.692313633240316
112.11081931245619,3628.4553712517904,202,165,787,639,234,2660,435,10000,1000.0,0,0,0,43.54074119743891,10,3.6284553712517904
102.84582361590795,3326.9193872524897,143,156,730,610,203,2438,209,9038,903.8,2,0,2,20.99023744929582,10,3.681034949383149
95.91010933002954,3101.1915509503624,154,120,659,542,211,2230,495,8660,866.0,0,3,3,49.527150958869605,10,3.581052599249841
106.7077743957549,3452.60936776612,156,120,733,580,130,2459,264,9480,948.0,1,0,1,26.438120421487838,10,3.6419930039727
104.53523068484036,3381.9023618366764,154,123,634,592,175,2431,415,9360,936.0,0,2,2,41.51649565827101,10,3.6131435489708084
